input,original_text,label
i didnt feel h‍umiliated,i didnt feel humiliated,0
i can go from feeling so hopeless to so damned hopeful just from being around someone who car‌es and is awake,i can go from feeling so hopeless to so damned hopeful just from being around someone who cares and is awake,0
im grabbing a minute to post i f‌eel greedy wrong,im grabbing a minute to post i feel greedy wrong,3
i am ever feeling nostalgic about the fireplace i will know th‌at it is still on the property,i am ever feeling nostalgic about the fireplace i will know that it is still on the property,2
i am feeling grouchy,i am feeling grouchy,3
ive been feeling a little burdened lately wasnt sur‌e why that was,ive been feeling a little burdened lately wasnt sure why that was,0
ive been taking or milligrams or time‌s recommended amount and ive fallen asleep a lot faster but i also feel like so funny,ive been taking or milligrams or times recommended amount and ive fallen asleep a lot faster but i also feel like so funny,5
i feel as confused about life as a teenager or as jaded as a year old man,i feel as confused about life as a teenager or as jaded as a year old man,4
i have been with petr‍onas for years i feel that petronas has performed well and made a huge profit,i have been with petronas for years i feel that petronas has performed well and made a huge profit,1
i feel romantic too,i feel romantic too,2
i feel like i have to make the suffering i m seeing mean something,i feel like i have to make the suffering i m seeing mean something,0
i do feel that running is a divine experience and that i can expect to have some type o​f spiritual encounter,i do feel that running is a divine experience and that i can expect to have some type of spiritual encounter,1
i think it s t‌he easiest time of year to feel dissatisfied,i think it s the easiest time of year to feel dissatisfied,3
i feel low e​nergy i m just thirsty,i feel low energy i m just thirsty,0
i have immense sympathy with the general point but as a possible proto writer trying to find time to write in the corners of life and with no sign of an agent let alone a publishing contract this fee‌ls a little precious,i have immense sympathy with the general point but as a possible proto writer trying to find time to write in the corners of life and with no sign of an agent let alone a publishing contract this feels a little precious,1
i do n​ot feel reassured anxiety is on each side,i do not feel reassured anxiety is on each side,1
i didnt real‌ly feel that embarrassed,i didnt really feel that embarrassed,0
i feel pretty pathetic most of the tim​e,i feel pretty pathetic most of the time,0
i started feeling sentimental about dolls i had as a child and so began a collection of vintage barbie dol​ls from the sixties,i started feeling sentimental about dolls i had as a child and so began a collection of vintage barbie dolls from the sixties,0
i now feel compromised and skeptical of the value of every unit o​f work i put in,i now feel compromised and skeptical of the value of every unit of work i put in,4
i feel irritated and rejected witho‍ut anyone doing anything or saying anything,i feel irritated and rejected without anyone doing anything or saying anything,3
i a‍m feeling completely overwhelmed i have two strategies that help me to feel grounded pour my heart out in my journal in the form of a letter to god and then end with a list of five things i am most grateful for,i am feeling completely overwhelmed i have two strategies that help me to feel grounded pour my heart out in my journal in the form of a letter to god and then end with a list of five things i am most grateful for,4
i have the feeling she was amused and delighte‍d,i have the feeling she was amused and delighted,1
i was able to help chai lifeline with your support and encouragement is a great feeling and i a​m so glad you were able to help me,i was able to help chai lifeline with your support and encouragement is a great feeling and i am so glad you were able to help me,1
i already feel like i fucked up though because i dont usu‌ally eat at all in the morning,i already feel like i fucked up though because i dont usually eat at all in the morning,3
i still love my so and wish the best for him i can no longer tole‍rate the effect that bm has on our lives and the fact that is has turned my so into a bitter angry person who is not always particularly kind to the people around him when he is feeling stressed,i still love my so and wish the best for him i can no longer tolerate the effect that bm has on our lives and the fact that is has turned my so into a bitter angry person who is not always particularly kind to the people around him when he is feeling stressed,0
i feel so inhibited in someone elses kitchen li‍ke im painting on someone elses picture,i feel so inhibited in someone elses kitchen like im painting on someone elses picture,0
i become overwhelmed and feel defeated,i become overwhelmed and feel defeated,0
i feel kinda appalled that she feels like she needs to explai​n in wide and lenghth her body measures etc pp,i feel kinda appalled that she feels like she needs to explain in wide and lenghth her body measures etc pp,3
i feel more superior dea‌d chicken or grieving child,i feel more superior dead chicken or grieving child,1
i g‍et giddy over feeling elegant in a perfectly fitted pencil skirt,i get giddy over feeling elegant in a perfectly fitted pencil skirt,1
i remember feeling acutely distressed for a few days,i remember feeling acutely distressed for a few days,4
